audio_id,filename,sentence
Voice71,Voice71.wav,"घरपरिवारदेखि लिएर समाज, धर्म, संस्कृति, राजनीति, वित्त आदि सबै क्षेत्रमा अनुशासन चाहिन्छ।"
Voice76,Voice76.wav,"नेपालका पहाड, भित्री मधेस तथा तराई क्षेत्र गरी सबै क्षेत्रतिर नेपाली भाषा बोलिन्छ।"
Voice80,Voice80.wav,"मेरो देश विश्वमै एक भूपरिवेष्ठित देशका रूपमा चिनिन्छ।"
Voice83,Voice83.wav,"अनुशासन मानिसका लागि अति आवश्यक छ।"
Voice85,Voice85.wav,"उहाँले यो आविष्कार गरेर आफ्नो नाम अहिले कमाइरहेका छन्।"
Voice92,Voice92.wav,"आज मानिसहरू समयलाई उपयुक्त तरिकाले उपयोग गर्नका लागि यसमा भएका किताबहरू पढ्ने गर्छन्।"
Voice94,Voice94.wav,"म अथाह ज्ञान-आर्जन गर्ने अभिलाषा बोकेर विद्यालय धाउन लागे।"
Voice97,Voice97.wav,"यदि हामीले एकतामा एकजुट भई काम गर्‍यौँ भने सामाजिक समस्याको अन्त्य हुनेछ र समाजको विकास हुनेछ।"
Voice102,Voice102.wav,"पर्वतारोहण मानिसको सोखको कुरा हो।"
Voice109,Voice109.wav,"हाम्रो देशमा वीर गोर्खालीहरू जन्मेका हुन्, उनीहरूले शत्रुहरूलाई पराजित गरेर हाम्रो देशलाई जोगाएका हुन्।"
Voice113,Voice113.wav,"देशको भौतिक अवस्थामा गुणात्मक परिवर्तन गर्ने काम नै देश विकासको काम हो।"
Voice117,Voice117.wav,"विशाल समुद्र पनि आफ्नो निश्चित सीमामा अडेको हुन्छ।"
Voice121,Voice121.wav,"अनुशासनले व्यक्तिलाई मात्र नभई परिवार, समाज, राष्ट्र र विश्वलाई समेत शिष्ट, सभ्य र सुसंस्कृत बनाउँछ।"
Voice123,Voice123.wav,"अनुशासनको पालना गर्ने व्यक्तिले समाजमा उच्च पद र प्रतिष्ठा प्राप्त गर्दछ।"
Voice137,Voice137.wav,"शिक्षकको सम्मान गर्ने र तिनले पढाएको-सिकाएको कुरा ध्यान दिएर अध्ययन गर्ने विद्यार्थी पछि गएर असल नागरिक बन्दछ।"
Voice141,Voice141.wav,"यो बहुसङ्ख्यक नेपालीहरूले बोल्ने भाषा हो।"
Voice149,Voice149.wav,"बिहानले दिनको संकेत गर्छ भनेझैँ विद्यार्थी जीवनले मानिसको भविष्य राम्रो वा नराम्रो के हुने भन्ने कुराको संकेत गर्दछ।"
Voice151,Voice151.wav,"त्यसरी नेपाली भाषाले हरेक क्षेत्रमा प्रगति गर्न सकेको छ।"
Voice167,Voice167.wav,"विश्वमा मेरो देश 'सगरमाथाको देश' भनेर नामले समेत चिनिन्छ।"
